,AgendaId,Agency,Room,Building,Address,City,State,ZipCode,Date,Cancelled,RevisedDate,ContactInformation,CommitteeType,Notes,Acronym,Name,Phone,Id,LongName
0,27149,Senate,Senate Hearing Rm 3,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-09T08:00:00,true,2017-03-02T10:53:31.79,,Senate Full Committee,,HIE,Higher Education,,17558,Senate Higher Education
1,27159,Senate,Senate Hearing Rm 2,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-10T08:00:00,true,2017-03-03T14:44:39.453,,Senate Full Committee,,SGOV,State Government,,27463,Senate State Government
2,27156,Senate,Senate Hearing Rm 2,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-09T13:30:00,false,2017-03-03T15:01:48.427,--------,Senate Full Committee,Possible executive session on bills heard in committee. Other business.,LGOV,Local Government,,27462,Senate Local Government
3,27176,House,House Hearing Rm A,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-10T08:00:00,false,2017-03-03T15:13:25.747,(360) 786-7155,House Full Committee,,FIN,Finance,,1624,House Finance
4,27151,Senate,Senate Hearing Rm 4,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-09T10:00:00,false,2017-03-03T16:54:37.777,,Senate Full Committee,Other business.,LAW,Law & Justice,,17548,Senate Law & Justice
5,27154,Senate,Senate Hearing Rm 3,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-09T13:30:00,false,2017-03-06T09:43:05.793,,Senate Full Committee,"Public testimony will not be taken on gubernatorial appointments, but written feedback can be provided to peter.lindgren@leg.wa.gov and any submissions received will be provided to members at the time of the hearing. Possible executive session on bills heard in committee. Other business.",NRP,Natural Resources & Parks,,17642,Senate Natural Resources & Parks
6,27178,House,House Hearing Rm A,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-10T10:00:00,false,2017-03-06T11:20:37.537,(360) 786-7155,House Full Committee,,HCW,Health Care & Wellness,,12167,House Health Care & Wellness
7,27191,House,House Hearing Rm C,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-08T08:00:00,false,2017-03-06T14:26:49.643,,House Full Committee,,TED,Technology & Economic Development,,17360,House Technology & Economic Development
8,27162,House,House Hearing Rm A,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-09T15:30:00,true,2017-03-07T11:49:01.55,(360) 786-7155,House Full Committee,,APP,Appropriations,,17366,House Appropriations
9,27152,Senate,Senate Hearing Rm 1,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-09T10:00:00,false,2017-03-07T14:20:59.79,,Senate Full Committee,Possible executive session on bills heard in committee. Other business.,EET,"Energy, Environment & Telecommunications",,17641,"Senate Energy, Environment & Telecommunications"
10,27157,Senate,Senate Hearing Rm 4,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-09T15:30:00,true,2017-03-07T16:59:59.077,,Senate Full Committee,,WM,Ways & Means,,456,Senate Ways & Means
11,27153,Senate,Senate Hearing Rm 4,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-09T13:30:00,false,2017-03-09T08:02:21.06,,Senate Full Committee,Other business.,CLS,"Commerce, Labor & Sports",,27461,"Senate Commerce, Labor & Sports"
12,27228,House,House Hearing Rm D,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-14T08:00:00,false,2017-03-09T08:42:12.593,,House Full Committee,,HE,Higher Education,,12168,House Higher Education
13,27205,House,House Hearing Rm B,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-14T15:30:00,false,2017-03-09T10:39:07.84,,House Full Committee,,CB,Capital Budget,,965,House Capital Budget
14,27195,House,House Hearing Rm B,John L. O'Brien Building,"Olympia, WA",Olympia,WA,98504,2017-03-16T13:30:00,false,2017-03-09T11:07:33.237,,House Full Committee,,AGNR,Agriculture & Natural Resources,,8221,House Agriculture & Natural Resources
15,27282,Senate,Senate Hearing Rm 2,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-17T08:00:00,false,2017-03-09T11:20:48.373,,Senate Full Committee,Possible executive session on bills heard in committee. Other business.,SGOV,State Government,,27463,Senate State Government
16,27260,Senate,Senate Hearing Rm 1,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-14T13:30:00,false,2017-03-09T15:34:09.853,,Senate Full Committee,Possible executive session on bills heard in committee. Other business.,EDU,Early Learning & K-12 Education,,12228,Senate Early Learning & K-12 Education
17,27278,Senate,Senate Hearing Rm 1,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-16T13:30:00,false,2017-03-09T15:34:27.25,,Senate Full Committee,Possible executive session on bills heard in committee. Other business.,EDU,Early Learning & K-12 Education,,12228,Senate Early Learning & K-12 Education
18,27277,Senate,Senate Hearing Rm 2,J.A. Cherberg Building,"Olympia, WA",Olympia,WA,98504,2017-03-16T13:30:00,false,2017-03-09T15:34:52.573,--------,Senate Full Committee,Possible executive session on bills heard in committee. Other business.,LGOV,Local Government,,27462,Senate Local Government
