,0,1
0,ï,0.0
1,'sanctity,0.0
2,president,0.0
3,expect,0.0
4,follows,0.0
5,correctional,0.0
6,poses,0.0
7,construed,0.0
8,exist,0.0
9,escape,0.0
10,force,0.0
11,resort,0.0
12,statute,0.0
13,process,0.0
14,we,0.0
15,trust,0.0
16,city,0.0
17,id,0.0
18,assisting,0.0
19,report,0.0
20,every,0.0
21,person,0.0
22,those,0.0
23,contributions,0.0
24,so,0.0
25,faith,0.0
26,relating,0.0
27,some,0.0
28,convicted,0.0
29,corrections,0.0
30,clearly,0.0
31,agency,0.0
32,act,0.0
33,cellpadding,0.0
34,totality,0.0
35,unless,0.0
36,research,0.0
37,actor,0.0
38,policing,0.0
39,actual,0.0
40,preventing,0.0
41,commit,0.0
42,feasible,0.0
43,they,0.0
44,standard,0.0
45,adds,0.0
46,recommends,0.0
47,principles,0.0
48,on,0.0
49,intent,0.0
50,threat,0.0
51,style,0.0
52,escapes,0.0
53,'s,0.0
54,must,0.0
55,justifiable,0.0
56,crime,0.0
57,1,0.0
58,threatened,0.0
59,text,0.0
60,felony,0.0
61,strengthen,0.0
62,text-align,0.0
63,referred,0.0
64,applied,0.0
65,this,0.0
66,her,0.0
67,other,0.0
68,respect,0.0
69,physical,0.0
70,cody,0.0
71,life,0.0
72,justify,0.0
73,believe,0.0
74,washington,0.0
75,shall,0.0
76,i,0.0
77,necessarily,0.0
78,criminal,0.0
79,including,0.0
80,philosophy,0.0
81,b,0.0
82,mandate,0.0
83,doglio,0.0
84,apprehended,0.0
85,own,0.0
86,chapter,0.0
87,homicide,0.0
88,sufficient,0.0
89,case,0.0
90,their,0.0
91,another,0.0
92,citizens,0.0
93,discharge,0.0
94,suspect,0.0
95,executive,0.0
96,similarly,0.0
97,applaud,0.0
98,recognizes,0.0
99,as,0.0
100,means,0.0
101,manner,0.0
102,proportional,0.0
103,paramount,0.0
104,7,0.0
105,rely,0.0
106,amount,0.0
107,police,0.0
108,honorably,0.0
109,the,0.0
110,circumstances,0.0
111,risk,0.0
112,unduly,0.0
113,is,0.0
114,9,0.0
115,both,0.0
116,d,0.0
117,obedience,0.0
118,also,0.0
119,persons,0.0
120,209,0.0
121,show,0.0
122,addition,0.0
123,improve,0.0
124,from,0.0
125,standards,0.0
126,protect,0.0
127,rcw,0.0
128,present,0.0
129,time,0.0
130,often,0.0
131,necessary,0.0
132,law,0.0
133,reasonable,0.0
134,which,0.0
135,to,0.0
136,enforcement,0.0
137,authority,0.0
138,reduce,0.0
139,amending,0.0
140,competent,0.0
141,regular,0.0
142,1000,0.0
143,lawfully,0.0
144,representatives,0.0
145,attempted,0.0
146,deescalation,0.0
147,judgment,0.0
148,way,0.0
149,order,0.0
150,2017,0.0
151,party,0.0
152,bill,0.0
153,families,0.0
154,third,0.0
155,section,0.0
156,peterson,0.0
157,no,0.0
158,8,0.0
159,iv,0.0
160,6,0.0
161,»,0.0
162,create,0.0
163,compassion,0.0
164,created,0.0
165,it,0.0
166,forefront,0.0
167,threatens,0.0
168,his,0.0
169,command,0.0
170,suppress,0.0
171,new,0.0
172,apprehend,0.0
173,interactions,0.0
174,prevent,0.0
175,violent,0.0
176,belief,0.0
177,overcome,0.0
178,although,0.0
179,only,0.0
180,¿,0.0
